message_shortname,image,direct_to_nurse,english,hindi,hindi_male,hindi_female
1_4_3_imm_sat_n,,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",,
1_4_3_pedu,,,Have you/your child received pre-school education services from the AWC in the past year? Type 1 for Yes and 2 for No. ,"क्या आपको / आपके बच्चे को  पिछले एक साल में आंगनवाड़ी केंद्र से स्कूल जाने से पूर्व सिक्षा की सेवाएं प्राप्त हुई हैं?
1) हाँ
2) नहीं",,
1_4_3_pedu_n,,,Thank you for telling!,बताने के लिए धंयवाद!,,
1_4_3_pedu_sat,,,"Were you satisfied with the services you received for pre-school education?
Type 1 for Yes and 2 for No. ","क्या आप  स्कूल जाने से पूर्व सिक्षा  के लिए प्राप्त सेवाओं से संतुष्ट हैं?
1) हाँ
2) नहीं",,
1_4_3_pedu_sat_y,,,"Great! Can you tell us what you liked about the services you received?
",बहुत अच्छा! क्या आप हमें बता सकते हैं कि आपको प्राप्त सेवाओं के बारे में क्या पसंद आया?,,
1_4_3_pedu_sat_n,,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",,
1_4_3_ref,,,"Have you/your child received referral services from the AWC in the past year?
Type 1 for Yes and 2 for No. ","क्या  आपके बच्चे को पिछले वर्ष में आंगनवाड़ी केंद्र से रेफरल सेवाएं प्राप्त हुई हैं?
1) हाँ
2) नहीं ",,
1_4_3_ref_n,,,Thank you for telling!,बताने के लिए धंयवाद!,,
1_4_3_ref_sat,,,"Were you satisfied with the services you received for referral?
Type 1 for Yes and 2 for No. 
","क्या आप रेफरल के लिए प्राप्त सेवाओं से संतुष्ट हैं?
1) हाँ
2) नहीं",,
1_4_3_ref_sat_y,,,"Great! Can you tell us what you liked about the services you received?
",बहुत अच्छा! क्या आप हमें बता सकते हैं कि आपको प्राप्त सेवाओं के बारे में क्या पसंद आया?,,
1_4_3_ref_sat_n,,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",,
1_4_3_nhedu,,,Have you/your child received nutrition and health education services from the AWC in the past year? Type 1 for Yes and 2 for No. ,"क्या  आपके बच्चे को  पिछले वर्ष में आंगनवाड़ी केंद्र से पोषण और स्वास्थ्य शिक्षा सेवाएं प्राप्त हुई हैं?
1) हाँ
2) नहीं",,
1_4_3_nhedu_n,,,Thank you for telling!,बताने के लिए धंयवाद!,,
1_4_3_nhedu_sat,,,"Were you satisfied with the services you received for nutrition and health education?
Type 1 for Yes and 2 for No. ","क्या आप पोषण और स्वास्थ्य शिक्षा के लिए प्राप्त सेवाओं से संतुष्ट थे?
1) हाँ
2) नहीं ",,
1_4_3_nhedu_sat_y,,,"Great! Can you tell us what you liked about the services you received?
",बहुत अच्छा! क्या आप हमें बता सकते हैं कि आपको प्राप्त सेवाओं के बारे में क्या पसंद आया?,,
1_4_3_nhedu_sat_n,,,"Okay! Can you tell us what can be improved about the services that you received?
","ठीक है! क्या आप हमें बता सकते हैं कि आपके द्वारा प्राप्त सेवाओं के बारे में क्या सुधार किया जा सकता है?
",,
1_4_3_ty,,,"Thank you for answering these questions related to AWC service delivery! Your AWW should provide you with the services I asked you questions on: supplementary nutrition, immunization, pre-school education, referrals and nutrition and health education services. You should avail them as much as possible!","आंगनवाड़ी केंद्र सेवा वितरण से जुड़े इन सवालों के जवाब देने के लिए धन्यवाद! आपकी आंगनवाड़ी कार्यकर्ता को वह सेवाएं प्रदान करनी चाहिए जो मैंने आपसे पूछी हैं: ऊपरी पोषण, टीकाकरण, पूर्व-विद्यालय शिक्षा, रेफरल और पोषण और स्वास्थ्य शिक्षा सेवाएं। आपको उनका यथासंभव लाभ उठाना चाहिए!",,
1_4_4_pgm,,,"When was the last time that [child name]’s height was recorded? Type the number of the opion that you want to select.
1) Beginning of this month
2) Last month
3) Can’t remember","आखिरी बार कब [child name] की लम्बाई दर्ज की गई थी?
1) इस महीने की शुरुआत में 
2) पिछले महीने
3) याद नहीं कर सकते",,
1_4_4_12_h,,,"That’s great! Periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
","बोहोत बढ़िया! आपको अपने बच्चे के विकास की निगरानी करने में, और यदि कोई खतरे के संकेत हो तो उनका पता लगाने के लिए ऊंचाई और वजन का नियमित रूप से माप करना बेहद महत्वपूर्ण है। आपको अपने बच्चे को हर महीने इसके लिए मापने के लिए ले जाना चाहिए। यदि आपको यह जानने में किसी भी मदद की आवश्यकता है कि आपकी आंगनवाड़ी कार्यकर्ता आपके क्षेत्र में बच्चों का वजन कब करती है तो मैं आपको उसके बारे में जानकारी प्रदान करने में मदद कर सकती हूं।",,
1_4_4_3_h,,," It’s okay! But remember that periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
","अच्छा। पर ध्यान रखें की आपको अपने बच्चे के विकास की निगरानी करने में, और यदि कोई खतरे के संकेत हो तो उनका पता लगाने के लिए ऊंचाई और वजन का नियमित रूप से माप करना बेहद महत्वपूर्ण है। आपको अपने बच्चे को हर महीने इसके लिए मापने के लिए ले जाना चाहिए। यदि आपको यह जानने में किसी भी मदद की आवश्यकता है कि आपकी आंगनवाड़ी कार्यकर्ता आपके क्षेत्र में बच्चों का वजन कब करती है तो मैं आपको उसके बारे में जानकारी प्रदान करने में मदद कर सकती हूं।",,
1_4_4_pgm_w,,,"   When was the last time that [child’s name]’s weight was recorded?Type the number of the opion that you want to select.
   1.   Beginning of this month
   2.   Last month
   3.  Can’t remember","पिछली बार कब [child name] का वजन दर्ज किया गया था?
    1. इस महीने की शुरुआत में 
    2. पिछले महीने
    3. याद नहीं कर सकते",,
1_4_4_12_w,,,"That’s great! Periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
","बोहोत बढ़िया! आपको अपने बच्चे के विकास की निगरानी करने में, और यदि कोई खतरे के संकेत हो तो उनका पता लगाने के लिए ऊंचाई और वजन का नियमित रूप से माप करना बेहद महत्वपूर्ण है। आपको अपने बच्चे को हर महीने इसके लिए मापने के लिए ले जाना चाहिए। यदि आपको यह जानने में किसी भी मदद की आवश्यकता है कि आपकी आंगनवाड़ी कार्यकर्ता आपके क्षेत्र में बच्चों का वजन कब करती है तो मैं आपको उसके बारे में जानकारी प्रदान करने में मदद कर सकती हूं।",,
1_4_4_3_w,,," It’s okay! But remember that periodic measurement of height and weight is extremely important to monitor the growth of your child and to detect danger signs if any. You must take your child to get measured every month for the same. If you need any help in knowing when your AWW worker weighs children in your area I can help you provide information on the same.
","अच्छा। पर ध्यान रखें की आपको अपने बच्चे के विकास की निगरानी करने में, और यदि कोई खतरे के संकेत हो तो उनका पता लगाने के लिए ऊंचाई और वजन का नियमित रूप से माप करना बेहद महत्वपूर्ण है। आपको अपने बच्चे को हर महीने इसके लिए मापने के लिए ले जाना चाहिए। यदि आपको यह जानने में किसी भी मदद की आवश्यकता है कि आपकी आंगनवाड़ी कार्यकर्ता आपके क्षेत्र में बच्चों का वजन कब करती है तो मैं आपको उसके बारे में जानकारी प्रदान करने में मदद कर सकती हूं।",,
1_4_5_info,,,"The next time that the AWW comes to your home, what would you like to discuss with her? Type the number of the option that you want to select.
1) Birth preparedness
2) Mother’s diet
3) Breastfeeding
4) Complementary feeding
5) Hygiene & Sanitation
6) Family Planning
7) Other
","अगली बार जब आंगनवाड़ी कार्यकर्ता आपके घर आएगी , तो आप उसके साथ क्या चर्चा करना चाहेंगे? उस विकल्प की संख्या टाइप करें/लिखें  जिसे आप चुनना चाहते हैं।
1) बच्चे के जन्म की तैयारी
2) गर्भवती और धात्री माँ का आहार
3) स्तनपान
4) ऊपरी या ऊपरी आहार
5) स्वच्छता और साफ़ सफाई 
6) परिवार नियोजन
7) कोई और अन्य विषय ",,
1_4_5_123456,,,Thank you for letting me know! ,मुझे जानकारी देने के लिए धन्यवाद!,,
1_4_5_7_other,,yes,Please specify,कृपया निर्दिष्ट करें/इस बारे में और बताएं ,,
1_5_san,,,"Sanitation and hygiene is an important area that drastically affects a child’s growth. Here's a list of things I can provide information on. Please enter the number of the topic you want information on:
1) Importance of maintaining good hygiene and sanitation
2) How poor sanitation can make [child name] sick?
3) What is diarrhea
4) Main causes of diarrhea
5) Care needed for the child when they have diarrhea
6) Disposal of child feces
7) Washing hands
8) Usage and cleaning of baby bottles and toys
9) Q/A on sanitation and hygiene 
","स्वच्छता और साफ़-सफाई एक महत्वपूर्ण क्षेत्र है जो बच्चे के विकास को काफी प्रभावित करता है। यहां उन चीजों की एक सूची दी गई है जिन पर मैं जानकारी प्रदान कर सकती हूं। कृपया उस विषय की संख्या दर्ज करें जिस पर आप जानकारी चाहते हैं:
1) अच्छी स्वच्छता और साफ़ सफाई बनाए रखने का महत्व
2) स्वच्छता और साफ़ सफाई की ख़राब व्यवस्था आपके बच्चे को कैसे बीमार कर सकती हैं 
3) दस्त क्या है
4) दस्त के मुख्य कारण
5) दस्त लगने पर बच्चे की देखभाल करना
6) बच्चे के मल का निपटान कैसे करें 
7) हाथ धोने का महत्त्व और तकनीक 
8) बच्चे की बोतलों और खिलौनों का उपयोग और सफाई
9) स्वच्छता और साफ़ सफाई पर प्रश्न उत्तर जो आपको जानकारी देंगे ",,
1_5_1_imp,,,"Children are more likely to attract flies, who cause a lot of diseases, when they are left with poor hygienic conditions, for instance, babies with runny nose or suffering from diarrhea. Moreover, babies inactive at the time of sleep or due to sickness also attract flies.Which is why when we talked previously, we emphasized on the importance of the baby being active. It is also very important that you do not practice open defecation nor do you teach your child to do so since the same is a cause of several diseases and other dangers. ","बच्चों को मक्खियों को आकर्षित करने की अधिक संभावना होती है, जो बहुत सारी बीमारियों का कारण बनते हैं, जब वे खराब स्वास्थ्यकर स्थितियों से बचे होते हैं, उदाहरण के लिए, बहती नाक वाले बच्चे या दस्त से पीड़ित। इसके अलावा, बच्चे नींद के समय या बीमारी के कारण निष्क्रिय हो जाते हैं, वे भी मक्खियों को आकर्षित करते हैं। यही वजह है कि जब हमने पहले बात की, तो हमने बच्चे के सक्रिय होने के महत्व पर जोर दिया। यह भी बहुत महत्वपूर्ण है कि आप खुले में शौच का अभ्यास न करें और न ही आप अपने बच्चे को ऐसा करना सिखाएं क्योंकि यह कई बीमारियों और अन्य खतरों का कारण है।",,
1_5_2_sick,,,"Unsafe and insufficient water supply and inadequate sanitation can compromise with the nutritional status of the child. People suffering from diarrhoea will not benefit fully from food because frequent stools prevents adequate absorption of nutrients. This can lead to malnutrition. 

Malnutrition affects all age groups, but it is especially common among those with inadequate access to health education and to clean water and good sanitation. Which is why it is extremely important that you take care of the sanitation and hygiene of not just [child name] but the entire family. ","असुरक्षित और अपर्याप्त पानी की की स्थिति और अपर्याप्त या ख़राब स्वच्छता बच्चे की पोषण स्थिति के साथ समझौता कर सकती है। दस्त से पीड़ित बच्चों को पौष्टिक भोजन देने पर भी उसका लाभ नहीं मिलता है क्यूंकि लगातार शौच होने पर शरीर पोषक तत्वों को सोक नहीं पाता है। इससे कुपोषण हो सकता है।
 
कुपोषण सभी आयु समूहों को प्रभावित करता है, लेकिन यह उन् जगहों में ज़्यादा पाया जाता है जहाँ स्वास्थ्य शिक्षा की अपर्याप्त पहुंच हो और स्वच्छ जल और अच्छी स्वच्छता उपलब्ध नहीं हो। यही कारण है कि यह अत्यंत महत्वपूर्ण है कि आप न केवल [child name] बल्कि पूरे परिवार की स्वच्छता और साफ़ सफाई का ध्यान रखें।",,
1_5_3_diadef,,,[child name] might have diarrhea if they get 3 or more watery stools in a day.,अगर [child name] को एक दिन में 3 या उससे अधिक पानी के मल/अत्यधिक गीला मल हो तो उसे दस्त हो सकता है।,,
1_5_4_diacause,,,Diarrhea can be a sign of poor sanitation and hygiene 💧. You can take steps to prevent [child name] from getting diarrhea in the future by maintaining good sanitation and hygiene practices in your home. ,दस्त खराब स्वच्छता और साफ़ सफाई का संकेत हो सकता है 💧। आप अपने घर में अच्छी स्वच्छता और साफ़ सफाई की प्रथाओं को बनाए रखने से भविष्य में बच्चे को दस्त होने से रोकने के लिए कदम उठा सकते हैं।,,
1_5_5_diacare,,,"Since diarrhea causes a loss of a lot of nutrients from the body of the child, it is important therefore that the same is replenished and compensated for. If the child has diarrhoea you should give them ORS and breastfeed the child more than usual to maintain their strength. ORS is available at any medical store and also with your AWW. Unless told by a doctor, you should not give them anything else, not even water!","चूंकि दस्त से बच्चे के शरीर में से बोहोत से पोषण तत्व निकल जाते हैं, इसलिए यह महत्वपूर्ण है कि उसकी भरपाई की जाए और स्थिति में सुधार किया जाए। यदि बच्चे को दस्त हैं, तो आपको उनकी ताकत बनाए रखने के लिए उन्हें ओ.आर.एस/ORS देना चाहिए और बच्चे को सामान्य से अधिक स्तनपान कराना चाहिए। ओ.आर.एस/ORS किसी भी मेडिकल स्टोर पर और आपके आंगनवाड़ी कार्यकर्ता के पास भी उपलब्ध है। क्यूंकि बच्चा 6 महीने से कम का है इसलिए ओ.आर.एस/ORS के आलावा जब तक एक डॉक्टर द्वारा नहीं बताया जाता है, आपको उन्हें कुछ और नहीं देना चाहिए, यहां तक ​​कि पानी भी नहीं!",,
1_5_6_feces,,,"An important component of maintaining sanitation and hygiene is the safe disposal of child feces since the same could be a breeding ground for flies, scavengers etc. While crawling or playing, children may put contaminated fingers, pica or fomites into their mouth. The safest way is to dispose the fecal matter in a toilet/latrine. All other methods are considered unsafe.  Problems associated with open defecation include serious respiratory issues, stomach illness (Typhoid and Jaundice), and malaria apart from diarrhea. ","स्वच्छता और साफ़-सफाई को बनाए रखने का एक महत्वपूर्ण अंग बाल मल का सुरक्षित निपटान है क्योंकि वो मक्खियों, मेहतरों जैसे खतरनाक जीवों आदि के लिए एक प्रजनन भूमि हो सकती है। ज़मीन पर रेंगते या खेलते समय बच्चे दूषित उंगलियों, पिका या फोमाइट्स (हानिकारक जीव) को अपने मुंह में डाल सकते हैं जो उनके मल द्वारा वातावरण में आते हैं और फैलते हैं। इसलिए उनके मल को निबटाने का सबसे सुरक्षित तरीका एक शौचालय / शौचालय में उसको डालने का है। अन्य सभी तरीकों को असुरक्षित माना जाता है। खुले में शौच से जुड़ी समस्याओं में गंभीर सांस लेने संबंधी समस्याएं, पेट की बीमारी (टाइफाइड और पीलिया), और दस्त के अलावा मलेरिया शामिल हैं।",,
1_5_7_handwashing,,,"Hands should be washed on a regular basis, especially after using the washroom/changing the baby's diaper and before breastfeeding the child. Also, breasts should be wiped before breastfeeding the child. Using soap is a simple way to prevent the spread of infection and to keep you and your baby healthy 👶🏽. Keep the soap next to all water sources in your house to make it easier to wash your hands with soap every time. You should wash your hands for at least 20 seconds as advised by experts and dry them soon after because germs and bacteria spread easily in wet hands. ","नियमित रूप से हाथ धोएं, खासकर शौच के बाद/बच्चे के डायपर बदलने के बाद और बच्चे को स्तनपान कराने से पहले। बच्चे को स्तनपान कराने से पहले स्तनों को अच्छे से साफ़ करें। इंफेक्शन को फैलने से रोकने और आपके व आपके बच्चे के स्वास्थ्य की सुरक्षा के लिए साबुन से हाथ धोना सबसे आसान उपाय है। आप अपने घर में पानी वाली सभी जगहों के आस पास  साबुन की एक टिकिया रखनी चाहिए ताकि हर बार साबुन से हाथ धोना आसान हो सके। विशेषज्ञों द्वारा सलाह के अनुसार आपको कम से कम 20 सेकंड के लिए अपने हाथों को धोना चाहिए और उन्हें जल्द ही सूखा लेना चाहिए क्योंकि गीले हाथों में रोगाणु और बैक्टीरिया ज़्यादा आसानी से फैलते हैं।",,
1_5_8_toys,,,"Did you know that using a baby bottle to feed your child can actually make them sick? 🍼 Bottles are difficult to clean thoroughly, so germs can unintentionally be transferred to your child. It is recommended by many experts to stop all bottle feeding and switching to exclusive breastfeeding to avoid unintended sickness for your baby 🤱🏽. 
While babies are young, they often put things in their mouths while they are playing 👶🏽. It's important to keep these objects clean and sanitized so they don't transfer germs to the baby while playing. ","क्या आप जानते हैं कि अपने बच्चे को खिलाने के लिए दूध वाली बोतल का उपयोग करना वास्तव में उन्हें बीमार बना सकता है? बोतलों को अच्छी तरह से साफ करना मुश्किल है, इसलिए कीटाणुओं को अनजाने में आपके बच्चे में स्थानांतरित किया/भेजा जा सकता है। कई विशेषज्ञों द्वारा यह कहा जाता है  की आपके बच्चे को अनजाने में होने वाली बिमारियों से बचने के लिए सभी प्रकार की बोतल से फीडिंग करना और दूध पिलाना बंध करके केवल विशेष स्तनपान कराना चाहिए।
जब बच्चे छोटे होते हैं, तो वे खेलते समय अक्सर चीजों को अपने मुंह में डाल लेते हैं। इन वस्तुओं को साफ और स्वच्छ रखना महत्वपूर्ण है, ताकि वे खेलते समय बच्चे में बीमारी पैदा करने वाले जीव ना दाल दें।",,
1_5_9_pqw_quiz,,,"Poor quality of drinking water can cause which of the following diseases in your kid? Type 1 for Pneumonia, 2 for Cholera and 3 for Malaria.  ","पीने के पानी की खराब गुणवत्ता आपके बच्चे को निम्नलिखित बीमारियों में से कौनसी बीमारी का कारण बन सकती है? निमोनिया के लिए 1, हैजा के लिए 2 और मलेरिया के लिए 3 टाइप करें।
",,
1_5_9_pqw_pneumonia,,,That is incorrect! The correct answer is Cholera. It leads to severe watery diarrhoea that leads to dehydration and can also cause death if it remains untreated!,यह गलत जवाब है! इसका सही जवाब हैजा होगा। इसमें लम्बे समय तक दस्त होते है  और यह अनुपचारित रहने पर मृत्यु का कारण भी बन सकता है!,,
1_5_9_pwq_cholera,,,Correct! Cholera is caused by poor quality of drinking water. It leads to severe watery diarrhoea that leads to dehydration and can also cause death if it remains untreated!,सही  जवाब | हैजा पीने के पानी की खराब गुणवत्ता के कारण होता है।इसमें लम्बे समय तक दस्त होते है  और  यह अनुपचारित रहने पर मृत्यु का कारण भी बन सकता है!,,
1_5_9_pqw_malaria,,,That is incorrect! The correct answer is Cholera. It leads to severe watery diarrhoea that leads to dehydration and can also cause death if it remains untreated!,यह गलत जवाब है! इसका सही जवाब हैजा होगा। इसमें लम्बे समय तक दस्त होते है  और यह अनुपचारित रहने पर मृत्यु का कारण भी बन सकता है!,,
1_5_9_gs,,,"Which of the following is a medically proven leading cause of growth stunting? Type 1 for Eating unhealthy food and type 2 for defecating in the open.  
",निम्नलिखित में से कौन सा वृद्धि में रुकावट और नाटेपन का एक चिकित्सकीय रूप से सिद्ध प्रमुख कारण है? अस्वास्थ्यकर भोजन खाने के लिए 1 और खुले में शौच करने के लिए  2 टाइप करे ।,,
1_5_9_gs_unhealthyfood,,,That is incorrect! Defecating in the open is known to be a leading cause of growth stunting. In India almost 38% children below the age of five suffer from stunting.,यह गलत जवाब है! खुले में शौच करने को वृद्धि में रुकावट और नाटेपन का एक प्रमुख कारण माना जाता है। भारत में पाँच वर्ष से कम आयु के लगभग 38% बच्चे स्टंटिंग से पीड़ित हैं।,,
1_5_9_gs_od,,,Correct! Defecating in the open is known to be a leading cause of growth stunting. In India almost 38% children below the age of five suffer from stunting.,सही जवाब ! खुले में शौच करने को वृद्धि में रुकावट और नाटेपन का एक प्रमुख कारण माना जाता है। भारत में पाँच वर्ष से कम आयु के लगभग 38% बच्चे स्टंटिंग से पीड़ित हैं।,,
1_5_9_ptd,,,What is the single most effective way to prevent the transmission of disease? Press 1 for Antibiotics and 2 for Washing hands. ,बीमारी के संचरण को रोकने के लिए सबसे प्रभावी तरीका क्या है? एंटीबायोटिक दवाओं के लिए 1 दबाएँ और हाथ धोने के लिए 2 दबाएं।,,
1_5_9_ptd_antibiotic,,,That is incorrect! Washing hands is the single most effective way to prevent the transmission of disease. You should practice it and encourage others to do so too.,यह गलत जवाब है! बीमारी के संचरण को रोकने के लिए हाथ धोना सबसे प्रभावी तरीका है। आपको इसका अभ्यास करना चाहिए और दूसरों को भी ऐसा करने के लिए प्रोत्साहित करना चाहिए।,,
1_5_9_ptd_handwashing,,,Correct! Washing hands is the single most effective way to prevent the transmission of disease. You should practice it and encourage others to do so too.,यह सही जवाब है! बीमारी के संचरण को रोकने के लिए हाथ धोना सबसे प्रभावी तरीका है। आपको इसका अभ्यास करना चाहिए और दूसरों को भी ऐसा करने के लिए प्रोत्साहित करना चाहिए।,,
1_5_9_sf,,,Which major illness is caused due to non-availability of sanitation facilities? Press 1 for Diarrhoea press 2 for Cold and fever  ,कौनसी बड़ी बीमार स्वच्छता सुविधाओं के अभाव से होती है? डायरिया या दस्त के लिए 1 दबाएं सर्दी-बुखार के लिए 2 दबाएं।,,
1_5_9_sf_diarrhoea,,,That is correct! Diarrhoea is caused due to poor sanitation facilities and is a leading cause of malnutrition since it causes a reduction in food intake and decrease in absorption of nutrient. ,यह सही जवाब हैं! स्वच्छता की खराब सुविधाओं के कारण डायरिया होता है और कुपोषण का एक प्रमुख कारण है क्योंकि यह भोजन के सेवन में कमी और पोषक तत्वों के अवशोषण में कमी का कारण बनता है।,,
1_5_9_sf_cold,,,That is incorrect! Diarrhoea is caused due to poor sanitation facilities and is a leading cause of malnutrition since it causes a reduction in food intake and decrease in absorption of nutrient. ,यह गलत जवाब हैं! स्वच्छता की खराब सुविधाओं के कारण डायरिया होता है और कुपोषण का एक प्रमुख कारण है क्योंकि यह भोजन के सेवन में कमी और पोषक तत्वों के अवशोषण में कमी का कारण बनता है।,,
1_6_gm,,,"Growth monitoring is a widely used method to determine the nutrition status of a child i.e. to find out whether the child is malnourished or not. I am eager to provide you information on the same. Here's a list of things I can provide information on. Please enter the number of the topic you want information on:
1) Importance of getting your child weighed by the AWW
2) Importance of nutrition status and its knowledge with respect to your child 
3) Explanation with sample pictures of GM chart 
4) Meaning of the two axes in the GM chart
5) How to determine the nutritional status through color
6) Meaning of the different colors in the GM chart 
7) Direction of line in the GM chart 
8) Quick quiz 
9) GM counselling for your child ","बच्चे की पोषण स्थिति निर्धारित करने के लिए ग्रोथ मॉनिटरिंग या वृद्धि निगरानी एक व्यापक रूप से उपयोग की जाने वाली विधि है यानी यह तकनीक काफी जगह ये पता लगाने के लिए उपयोग में आती है कि बच्चा कुपोषित है या नहीं। मैं आपको उसी के बारे में जानकारी प्रदान करने के लिए उत्सुक हूं। यहां उन चीजों की एक सूची दी गई है जिन पर मैं जानकारी प्रदान कर सकती हूं। कृपया उस विषय की संख्या दर्ज करें जिस पर आप जानकारी चाहते हैं:
1) अपने बच्चे का आंगनवाड़ी कार्यकर्ता द्वारा वजन कराने का महत्व
2) पोषण स्थिति और अपने बच्चे के संबंध में उसके ज्ञान का महत्व
3) वृद्धि निगरानी चार्ट का कुछ उदहारण चित्रों के साथ विवरण 
4) वृद्धि निगरानी चार्ट की दो लाइनों का अर्थ 
5) वृद्धि निगरानी चार्ट में रंगों के द्वारा कैसे पोषण स्तिथि का पाता लगाया जा सकता है 
6) वृद्धि निगरानी चार्ट में विभिन्न रंगों के अर्थ
7) वृद्धि निगरानी चार्ट में लाइन की दिशा से क्या पाता लगता है 
8) वृद्धि निगरानी पर सवाल जवाब/प्रश्नोत्तरी
9) आपके बच्चे के खुद के निजी वृद्धि निगरानी चार्ट का विवरण और उसका चित्र ",,
1_6_1_weighingimp,,,You should talk to AWW [AWW name] and get [child name]'s height and weight measured every month. It is extremely useful to find out the nutrition status of the child. Your AWW is able to use this information with the help of growth charts to identify the nutrition status of your child and provide counselling on how to maintain or improve the nutrition status. It can also help her recognize early signs of faltering nutritional status and take action immediately.,आपको अपनी आंगनवाड़ी कार्यकर्ता [AWW नाम] से बात करनी चाहिए और हर महीने नापे जाने वाले वजन और लम्बाई की संख्या को प्राप्त करना चाहिए। आपकी आंगनवाड़ी कार्यकर्ता आपके बच्चे के पोषण स्थिति की पहचान करने और पोषण स्थिति को बनाए रखने या उसको सुधारने के लिए परामर्श प्रदान करने के लिए वृद्धि निगरानी चार्ट की मदद लेती है। यह उन्हें पोषण स्तिथि में शुरुवाती खतरे के संकेतों को भी पहचानने में मदत करता है और फिर तुरंत कार्रवाई करने में सहायता करता है।,,
1_6_2_nutritionimp,,,The nutrition status is used to compare your child’s growth to expected growth for all children of your child’s age. This allows us to see whether your child is growing normally or could use extra support. ,पोषण की स्थिति का उपयोग आपके बच्चे के विकास की तुलना आपके बच्चे की उम्र के सभी बच्चों के लिए अपेक्षित विकास के लिए किया जाता है। यह हमें यह देखने देखने में सक्षम करता है कि आपका बच्चा सामान्य रूप से बढ़ रहा है या उसके लिए अतिरिक्त मेहनत एवं सहायता की आवश्यकता है ।,,
1_6_3_gmchart_a,gmchart_boy.jpg,,"This is known as a Growth Monitoring chart. Every month, your AWW based on the age of your child and their weight, marks a point of the graph. Over a period of time this takes shape of a line that will indicate the nutrition status of your child. The straight line shows the weight which increases as you go upwards and the flat line shows the age which increases as you move right. ","इसे वृद्धि निगरानी चार्ट  के रूप में जाना जाता है। हर महीने, आपके बच्चे की उम्र और उनके वजन के आधार पर आपकी आंगनवाड़ी कार्यकर्ता  ग्राफ के एक बिंदु को चिह्नित करती है। समय के साथ यह एक रेखा का आकार ले लेता है जो आपके बच्चे के पोषण की स्थिति को इंगित करेगा।बायीं ओर ऊपर जाने वाली रेखा बढ़ते वजन को दर्शाती है और लेटी हुई सपाट रेखा बच्चे की उम्र को दर्शाती है जैसे जैसे आप दाहिनी तरफ बढ़ते हैं।",,
1_6_3_gmchart_b,gmchart_girl.jpg,,This is a growth chart too!,ये भी वृद्धि चार्ट है!,,
1_6_4_gmaxes,gmchart_axes.png,,This picture indicates what the two axes mean!,ये तस्वीर ऊपर जा रही और दाहिनी ओर जा रही रेखा का अर्थ दर्शाता है!,,
1_6_5_color,,,"According to nutrition specialists, there are 3 different categories that denote the weight for age or essentially the weight your child should have at a particular age which are shown in the graph through the green, yellow and red color. Each category shows a different nutritional status and requires a different level of action on your part as the mother to either improve or maintain the child’s nutrition status. ","पोषण विशेषज्ञों के अनुसार, 3 अलग-अलग श्रेणियां हैं जो उम्र के लिए वजन को दर्शाती हैं या कहें तो ये बताती हैं की आपके बच्चे का उसकी उम्र में कितना वजन होना चाहिए जो कि ग्राफ (चित्र) में हरे, पीले और लाल रंग के माध्यम से दिखाया गया है। प्रत्येक श्रेणी में एक अलग पोषण स्थिति दिखाई देती है और बच्चे की पोषण स्थिति को सुधारने या बनाए रखने के लिए आपके एक माँ होते हुए क्या कदम ले या कार्रवाई वो अलग होगी।",,
1_6_6_colormeaning,,,"RED- if the weight of your child is in this color, it means that (s)he is severely underweight and needs your immediate attention. 
YELLOW- if the weight of your child is in this color, it means that (s)he is underweight and needs your attention. 
GREEN- if the weight of your child is in this color, it means that (s)he is currently in the appropriate weight range and you should continue taking good care of them and addressing their nutritional needs. 
","लाल- यदि आपके बच्चे का वजन इस रंग में है, तो इसका मतलब है कि वह गंभीर रूप से कम वजन का है और आपको तुरंत ध्यान देने की आवश्यकता है।
पिला - अगर आपके बच्चे का वजन इस रंग में है, तो इसका मतलब है कि वह कम वजन का है और आपको उसे  ध्यान चाहिए।
हरा - यदि आपके बच्चे का वजन इस रंग में है, तो इसका मतलब है कि वह इस समय सामान्य वजन  में है और आपको उनकी अच्छी देखभाल और उनकी पोषण संबंधी जरूरतों को पूरा करना जारी रखना चाहिए।",,
